"rep","unit","time","share"
1,1,1,0.288462379597346
1,1,2,0.328706776893835
1,1,3,0.369467405144197
1,1,4,0.407714261261188
1,1,5,0.442391124039371
1,1,6,0.469823977945491
1,1,7,0.49064061886934
1,1,8,0.500409489791872
1,1,9,0.493202695328863
1,1,10,0.4822594438741
1,1,11,0.459034532951959
1,1,12,0.429825289768028
1,1,13,0.395740842070368
1,1,14,0.349651480789636
1,1,15,0.306678954806155
1,1,16,0.265316478515758
1,1,17,0.235124665510798
1,1,18,0.200994077419588
1,1,19,0.176273637663421
1,1,20,0.15918829569477
1,1,21,0.148450351216607
1,1,22,0.141679247163555
1,1,23,0.140607356209003
1,1,24,0.145021374215084
1,1,25,0.153436437569329
1,1,26,0.16696849800468
1,1,27,0.192978730423468
1,1,28,0.216840715163157
1,1,29,0.248469504526858
1,1,30,0.286183617433439
1,2,1,0.21452664279427
1,2,2,0.248182405864654
1,2,3,0.286478637885272
1,2,4,0.31373032115376
1,2,5,0.34724491692641
1,2,6,0.37112061114955
1,2,7,0.382252401455315
1,2,8,0.394832607450001
1,2,9,0.387865751075445
1,2,10,0.377839433866907
1,2,11,0.361213375021568
1,2,12,0.33628044881199
1,2,13,0.298755081211562
1,2,14,0.26396113499916
1,2,15,0.229916000964322
1,2,16,0.204308859342051
1,2,17,0.174663405345862
1,2,18,0.151307444883385
1,2,19,0.135364264000403
1,2,20,0.146036964633269
1,2,21,0.160748587227337
1,2,22,0.180003593938694
1,2,23,0.212336830266507
1,2,24,0.255568236496021
1,2,25,0.308702887200507
1,2,26,0.376682739063245
1,2,27,0.462855946330352
1,2,28,0.548598179802878
1,2,29,0.64087526429511
1,2,30,0.726128808222314
1,3,1,0.272237463152295
1,3,2,0.316210849918594
1,3,3,0.355605230507502
1,3,4,0.400975769326496
1,3,5,0.429835737449441
1,3,6,0.459623502721951
1,3,7,0.470466800076971
1,3,8,0.487148336774268
1,3,9,0.480099076582704
1,3,10,0.468949535650505
1,3,11,0.445257249321116
1,3,12,0.414802531249892
1,3,13,0.377436724447086
1,3,14,0.332426955437148
1,3,15,0.295906427488578
1,3,16,0.254224267544956
1,3,17,0.222942103130177
1,3,18,0.188452766609274
1,3,19,0.16627962218058
1,3,20,0.165815932171337
1,3,21,0.166017003607583
1,3,22,0.176558093059779
1,3,23,0.19369551473702
1,3,24,0.218183209119704
1,3,25,0.254744468389571
1,3,26,0.298323374434532
1,3,27,0.354036635802773
1,3,28,0.42155537153632
1,3,29,0.501453081919702
1,3,30,0.574165031774602
1,4,1,0.328616909823886
1,4,2,0.368359146026099
1,4,3,0.41351965583062
1,4,4,0.454145056754011
1,4,5,0.492178090963542
1,4,6,0.522170795677018
1,4,7,0.534824450989277
1,4,8,0.548612446705228
1,4,9,0.541202810129801
1,4,10,0.53197800233626
1,4,11,0.505133903985126
1,4,12,0.477019970301498
1,4,13,0.435221799514768
1,4,14,0.390606860780642
1,4,15,0.349077479398311
1,4,16,0.30276457777411
1,4,17,0.264439387906914
1,4,18,0.228990420399624
1,4,19,0.205845032724032
1,4,20,0.215459865129499
1,4,21,0.228958154524496
1,4,22,0.254053884339497
1,4,23,0.28410340875997
1,4,24,0.329405463046186
1,4,25,0.391377007013474
1,4,26,0.462676840593622
1,4,27,0.54606316582415
1,4,28,0.629574608086201
1,4,29,0.703056607435403
1,4,30,0.774520781837077
1,5,1,0.268303021492404
1,5,2,0.310276827516947
1,5,3,0.350633583301019
1,5,4,0.396032597543053
1,5,5,0.431958851149111
1,5,6,0.462319379357678
