"id","name","time","Y"
1,"u1",1,75.82976942179
1,"u1",2,92.3957350258969
1,"u1",3,96.7397839528757
1,"u1",4,98.8896138990204
1,"u1",5,110.253396625325
1,"u1",6,118.90983952049
1,"u1",7,138.467485991532
1,"u1",8,137.90165232289
1,"u1",9,131.43455377134
1,"u1",10,127.196033630981
1,"u1",11,128.601202053835
1,"u1",12,129.830532700011
1,"u1",13,117.803666469556
1,"u1",14,98.4646852990952
1,"u1",15,113.424601283332
1,"u1",16,123.295126683334
1,"u1",17,133.694913822764
1,"u1",18,129.82034957364
1,"u1",19,125.26066797707
1,"u1",20,125.208154657693
1,"u1",21,118.950355516749
1,"u1",22,123.14621866364
1,"u1",23,114.144334033628
1,"u1",24,120.620735428402
1,"u1",25,115.681070417854
1,"u1",26,123.752473795402
1,"u1",27,116.84993138761
1,"u1",28,110.173252455676
1,"u1",29,114.294449241949
1,"u1",30,125.202401354202
1,"u1",31,128.645905212433
1,"u1",32,135.35689081615
1,"u1",33,119.428899770592
1,"u1",34,133.714854527368
1,"u1",35,145.588857190545
2,"u2",1,111.11528981578
2,"u2",2,113.286356075718
2,"u2",3,115.254775115962
2,"u2",4,115.318432603441
2,"u2",5,120.374856733418
2,"u2",6,122.514083919653
2,"u2",7,128.31496904868
2,"u2",8,128.474159948185
2,"u2",9,125.133375966105
2,"u2",10,124.528239235731
2,"u2",11,123.521936186151
2,"u2",12,126.303738422311
2,"u2",13,118.991223858424
2,"u2",14,111.957004124273
2,"u2",15,118.253936194306
2,"u2",16,120.368593854295
2,"u2",17,122.151460715322
2,"u2",18,123.051888503351
2,"u2",19,121.457281336986
2,"u2",20,121.958473417228
2,"u2",21,119.541643352499
2,"u2",22,123.222373972087
2,"u2",23,119.10225488569
2,"u2",24,123.347120617813
2,"u2",25,122.387683612755
2,"u2",26,126.187871357393
2,"u2",27,123.766142614981
2,"u2",28,122.009736297162
2,"u2",29,125.777932953666
2,"u2",30,128.53604477623
2,"u2",31,128.95165224647
2,"u2",32,130.732866131943
2,"u2",33,126.111277648356
2,"u2",34,129.840796663031
2,"u2",35,133.566689819624
3,"u3",1,115.013121778107
3,"u3",2,114.090824786305
3,"u3",3,115.406548101831
