"id","time","Y","trt"
1,1,100.75425707096,0
1,2,108.54249158124,0
1,3,110.211786022665,0
1,4,111.438077932512,0
1,5,114.951901624197,0
1,6,119.282019617633,0
1,7,127.516185987741,0
1,8,126.390021011602,0
1,9,124.967558171815,0
1,10,122.62911943394,0
1,11,124.50697190695,0
1,12,123.850366743713,0
1,13,119.704220606482,0
1,14,110.932523253791,0
1,15,117.425628730891,0
1,16,120.707938045797,0
1,17,126.289387750219,0
1,18,123.986873290072,0
1,19,122.568928746282,0
1,20,122.651660944929,0
1,21,118.424434922463,1
1,22,119.71567177111,1
1,23,115.507529447361,1
1,24,117.820790406514,1
1,25,114.722641263383,1
1,26,117.273563943336,1
1,27,113.977179520928,1
1,28,110.319248999468,1
1,29,110.899589715884,1
1,30,115.16126852391,1
1,31,115.86919163239,1
1,32,117.478100026451,1
1,33,109.722676963988,1
1,34,116.314334747508,1
1,35,120.433075094718,1
2,1,111.11528981578,0
2,2,113.286356075718,0
2,3,115.254775115962,0
2,4,115.318432603441,0
2,5,120.374856733418,0
2,6,122.514083919653,0
2,7,128.31496904868,0
2,8,128.474159948185,0
2,9,125.133375966105,0
2,10,124.528239235731,0
2,11,123.521936186151,0
2,12,126.303738422311,0
2,13,118.991223858424,0
2,14,111.957004124273,0
2,15,118.253936194306,0
2,16,120.368593854295,0
2,17,122.151460715322,0
2,18,123.051888503351,0
2,19,121.457281336986,0
2,20,121.958473417228,0
2,21,119.541643352499,0
2,22,123.222373972087,0
2,23,119.10225488569,0
2,24,123.347120617813,0
2,25,122.387683612755,0
2,26,126.187871357393,0
2,27,123.766142614981,0
2,28,122.009736297162,0
2,29,125.777932953666,0
2,30,128.53604477623,0
2,31,128.95165224647,0
2,32,130.732866131943,0
2,33,126.111277648356,0
2,34,129.840796663031,0
2,35,133.566689819624,0
3,1,115.013121778107,0
3,2,114.090824786305,0
3,3,115.406548101831,0
3,4,114.506892289419,0
3,5,115.91202574407,0
3,6,117.185268227053,0
3,7,119.374586934352,0
3,8,118.61609796923,0
3,9,118.988834303495,0
3,10,116.331618479091,0
3,11,119.04258206667,0
3,12,116.839868371663,0
3,13,117.043904344286,0
3,14,115.689757706738,0
3,15,116.651516769338,0
3,16,117.919823102247,0
3,17,119.404788765992,0
3,18,116.997814557966,0
3,19,119.734751045044,0
3,20,117.673919432793,0
3,21,119.385461363628,0
3,22,117.284173802787,0
3,23,117.745892510181,0
3,24,117.537876733538,0
3,25,116.663229214818,0
3,26,117.147216272256,0
3,27,116.904228832122,0
3,28,117.738348297239,0
3,29,117.017584732177,0
3,30,119.524805941718,0
3,31,118.993159851788,0
3,32,121.183026313601,0
3,33,119.727154692218,0
3,34,120.549864187199,0
3,35,121.471487779765,0
4,1,104.424650102815,0
4,2,109.727211820788,0
4,3,111.387112211151,0
