school_id,year,school_type,funding,test_score
1,1,Public,45.29323441092278,575.8852484730222
1,2,Public,51.09697604805776,580.865978938038
1,3,Public,48.07552252234434,571.4986178278643
1,4,Public,47.47041819673219,582.8970761286963
1,5,Public,43.845962389528495,569.9591012554155
1,6,Public,49.285507444265065,578.9119695003096
1,7,Public,44.84624697637613,580.5019478958327
1,8,Public,39.548022173589764,569.1684216849101
1,9,Public,47.27431467139201,583.36974754644325
1,10,Public,55.069653447483184,574.7504381607756
1,11,Public,46.10359201746824,558.9179513616047
1,12,Public,53.203459726468786,586.1010706752298
2,1,Private,39.264822312953385,596.4654151344587
2,2,Private,48.638746769541136,594.2050730545446
2,3,Private,52.088561786349146,601.8047638119104
2,4,Private,50.77903873568866,589.3987505237872
2,5,Private,49.606175727582034,595.8964081467293
2,6,Private,45.12788251285611,580.508843833389
2,7,Private,43.87389248648688,601.6153446899215
2,8,Private,42.82734581905889,605.7385264801972
2,9,Private,49.67799814528913,604.3476276671071
2,10,Private,43.28727087757956,592.8036767196113
2,11,Private,46.02877390048436,594.4066949023189
2,12,Private,47.43556540949889,584.8716088416013
3,1,Public,52.0646834273602,577.7652855523362
3,2,Public,37.089811985794206,561.7725260153364
3,3,Public,42.4138308296761,561.8448761089805
3,4,Public,41.46927649334922,555.9911634361039
3,5,Public,35.230371591186184,560.0336635668903
3,6,Public,40.57366287922537,559.3945478711207
3,7,Public,49.66881654650705,568.0158543743119
3,8,Public,43.710535714442244,558.6968996030225
3,9,Public,41.248908927924596,577.5562498260771
3,10,Public,38.466530401929205,563.9616786394042
3,11,Public,28.682028066723866,565.7276104696434
3,12,Public,47.78953467645201,551.4556012027701
4,1,Private,34.013254977166,572.7369528252646
4,2,Private,47.21678046797894,579.1030768885716
4,3,Private,54.231716818019834,579.4799314841792
4,4,Private,34.11373643688414,586.7958905906279
4,5,Private,46.9878014149632,573.7870920595202
4,6,Private,41.20391046630013,582.452462751565
4,7,Private,33.34423044784201,581.4329769166918
4,8,Private,33.68908948002443,576.9621696558696
4,9,Private,33.16787836126737,569.2753233232206
4,10,Private,39.59165626969312,585.8445390578138
4,11,Private,34.00656189273953,577.0994383574583
4,12,Private,46.9045960405699,576.1996569285965
5,1,Private,54.7391589254471,578.6930442180113
5,2,Private,34.416322426082,590.8227076930589
5,3,Private,46.86493836714414,578.9353331983151
5,4,Private,46.75275872829853,570.6285458555104
5,5,Private,44.13172075599378,585.7777401888294
5,6,Private,36.08824563263103,579.3904513679624
5,7,Private,41.421789642509125,570.9421256314049
5,8,Private,40.4561332712716,566.2388772636469
5,9,Private,45.516442481615954,582.061640064817
5,10,Private,39.9038727456701,587.4839898853256
5,11,Private,48.000345602406796,588.8189678036766
5,12,Private,39.891020135690994,576.0499423082384
6,1,Public,54.958612490327084,572.0131158233876
6,2,Public,42.3472816568547,572.1831022416486
6,3,Public,41.08141222830242,570.6275867177766
6,4,Public,68.08858330650551,590.1383981610344
6,5,Public,46.141198167888504,569.7913991989928
6,6,Public,50.43170924609539,581.431769870361
6,7,Public,52.46176174105418,570.5386423035608
6,8,Public,45.739659942598635,570.0072490150014
6,9,Public,51.74351596273275,581.1090771940029
6,10,Public,50.85613086116161,582.3207457273687
6,11,Public,47.35006065100093,559.7177694307089
6,12,Public,49.03410189800299,575.0480599381968
7,1,Public,50.17411382112233,601.5224385430358
7,2,Public,63.149228737650205,594.8902842163756
7,3,Public,45.93050076591614,598.0791968268962
7,4,Public,43.80253974110513,587.6408211201054
7,5,Public,50.605247738579585,604.6614368965188
7,6,Public,52.241401840211935,602.2707324970656
7,7,Public,52.99765821701421,604.3384781633977
7,8,Public,47.62832534728648,596.5785476816011
7,9,Public,43.998560539725965,599.6011925311598
7,10,Public,57.95762840009005,611.5946959064757
7,11,Public,48.280615015831785,609.8886222859085
7,12,Public,45.18544016763287,594.0690158855563
8,1,Private,54.21837330711947,594.7779121595563
8,2,Private,54.45299535467474,610.8827250525742
8,3,Private,62.2955724590479,616.80651774219
8,4,Private,56.14447447394923,610.5895130619701
8,5,Private,60.16037343187318,618.0644902121749
8,6,Private,52.64029861773248,616.6491707298508
8,7,Private,56.92272257825566,608.51800234339
8,8,Private,53.687935251821045,608.1443396686112
8,9,Private,56.20355188980748,614.4972724030982
8,10,Private,50.2638705729008,604.2970019609279
8,11,Private,47.77124152079822,607.2918624045079
8,12,Private,67.61933102925386,604.8298912329666
9,1,Public,59.67146255659136,586.1391355255441
9,2,Public,48.559581444807186,578.0170165790281
9,3,Public,52.40021411447432,583.6403186329666
9,4,Public,48.95432910697299,582.6950218100418
9,5,Public,69.26007170785917,602.4077350639128
9,6,Public,63.94168747315791,603.4153595429259
9,7,Public,54.47633927437873,585.7696749023871
9,8,Public,59.32637396994939,586.7935075466962
9,9,Public,53.581169927043696,583.0324359846722
9,10,Public,53.209728246863385,587.199271904945
9,11,Public,51.335592587455395,587.3037081167779
9,12,Public,52.49950600979979,593.0605823841204
10,1,Public,79.50646103154587,639.0063415653391
10,2,Public,69.27684747701309,620.568422445778
10,3,Public,70.31648764609123,635.101591500394
10,4,Public,71.06314080512028,644.4999309992234
10,5,Public,76.99587149843777,648.0904706202252
10,6,Public,66.50463324185705,627.9317762599259
10,7,Public,63.64597332517351,620.9048870312313
10,8,Public,79.65519782194487,658.5512809778141
10,9,Public,66.95403692609402,632.5872073998908
10,10,Public,65.26262040788649,632.0271523355829
10,11,Public,62.183377514225974,633.8057846710129
10,12,Public,61.892721893618955,619.3890957814278
11,1,Private,45.66378513153366,594.6416022811817
11,2,Private,52.81554091032075,593.2470926897628
11,3,Private,55.76671484089989,600.9492315870662
11,4,Private,53.35315613033511,605.1847046898334
11,5,Private,46.92568222475006,590.943308109542
